사용일자,노선명,역명,하차총승객수
202001,2호선,합정,41981
202001,2호선,홍대입구,99670
202001,2호선,신촌,53776
202001,2호선,이대,19345
202001,2호선,아현,11359
202001,2호선,충정로(경기대입구),12779
202001,2호선,용답,2968
202001,2호선,신답,2068
202001,2호선,신설동,4589
202001,2호선,도림천,1452
202001,2호선,양천구청,8577
202001,2호선,신정네거리,11318
202001,2호선,용두(동대문구청),2803
202001,3호선,지축,2225
202001,3호선,구파발,22782
202001,3호선,연신내,44268
202001,3호선,불광,20773
202001,3호선,녹번,13844
202001,3호선,홍제,19358
202001,3호선,무악재,4571
202001,3호선,독립문,8636
202001,3호선,경복궁(정부서울청사),27280
202001,3호선,안국,29379
202001,3호선,종로3가,16385
202001,3호선,을지로3가,14521
202001,3호선,충무로,0
202001,3호선,동대입구,11699
202001,3호선,약수,14912
202001,3호선,금호,8920
202001,3호선,옥수,10921
202001,3호선,압구정,45086
202001,3호선,신사,43942
202001,3호선,잠원,6887
202001,3호선,고속터미널,63136
202001,3호선,교대(법원.검찰청),11032
202001,3호선,남부터미널(예술의전당),37595
202001,3호선,양재(서초구청),50358
202001,3호선,매봉,13162
202001,3호선,도곡,6466
202001,3호선,대치,14319
202001,3호선,학여울,2635
202001,3호선,대청,10619
202001,3호선,일원,11129
202001,3호선,수서,20813
202001,3호선,가락시장,11430
202001,3호선,경찰병원,9217
202001,3호선,오금,6610
202001,4호선,당고개,12931
202001,4호선,상계,20692
202001,4호선,노원,28917
202001,4호선,창동,34073
202001,4호선,쌍문,31956
202001,4호선,수유(강북구청),42277
202001,4호선,미아(서울사이버대학),16833
202001,4호선,미아사거리,32770
202001,4호선,길음,23212
202001,4호선,성신여대입구(돈암),23976
202001,4호선,한성대입구(삼선교),15247
202001,4호선,혜화,44550
202001,4호선,동대문,25520
202001,4호선,동대문역사문화공원,22877
202001,4호선,충무로,36338
202001,4호선,명동,41290
202001,4호선,회현(남대문시장),35682
202001,4호선,서울역,26730
202001,4호선,숙대입구(갈월),16463
202001,4호선,삼각지,6404
202001,4호선,신용산,20416
202001,4호선,이촌(국립중앙박물관),10940
202001,4호선,동작(현충원),2769
202001,4호선,총신대입구(이수),26827
202001,4호선,사당,27658
202001,4호선,남태령,1325
202001,5호선,방화,7566
202001,5호선,개화산,6148
202001,5호선,김포공항,8275
202001,5호선,송정,7542
202001,5호선,마곡,7723
202001,5호선,발산,22878
202001,5호선,우장산,16996
202001,5호선,화곡,31072
202001,5호선,까치산,31942
202001,5호선,신정(은행정),11807
202001,5호선,목동,22418
202001,5호선,오목교(목동운동장앞),30554
202001,5호선,양평,7929
202001,5호선,영등포구청,4464
202001,5호선,영등포시장,12117
202001,5호선,신길,4487
202001,5호선,여의도,31914
202001,5호선,여의나루,8997
202001,5호선,마포,17413
202001,5호선,공덕,18147
202001,5호선,애오개,8367
202001,5호선,충정로(경기대입구),5274
202001,5호선,서대문,22384
202001,5호선,광화문(세종문화회관),46209
202001,5호선,종로3가,18960
202001,5호선,을지로4가,7189
202001,5호선,동대문역사문화공원,4255
202001,5호선,청구,4201
202001,5호선,신금호,7242
202001,5호선,행당,8229
202001,5호선,왕십리(성동구청),6428
202001,5호선,마장,6413
202001,5호선,답십리,16726
202001,5호선,장한평,21727
202001,5호선,군자(능동),13789
202001,5호선,아차산(어린이대공원후문),15102
202001,5호선,광나루(장신대),13716
202001,5호선,천호(풍납토성),23831
202001,5호선,강동,19940
202001,5호선,길동,9105
202001,5호선,굽은다리(강동구민회관앞),9868
202001,5호선,명일,10128
202001,5호선,고덕,10715
202001,5호선,상일동,14581
202001,5호선,둔촌동,10064
202001,5호선,올림픽공원(한국체대),4133
202001,5호선,방이,8720
202001,5호선,오금,3987
202001,5호선,개롱,7795
202001,5호선,거여,8406
202001,5호선,마천,5638
202001,6호선,응암,19384
202001,6호선,역촌,4926
202001,6호선,불광,5255
202001,6호선,독바위,3224
202001,6호선,연신내,0
202001,6호선,구산,6421
202001,6호선,새절(신사),13933
202001,6호선,증산(명지대앞),10855
202001,6호선,디지털미디어시티,17202
202001,6호선,월드컵경기장(성산),5493
202001,6호선,마포구청,14591
202001,6호선,망원,17484
202001,6호선,합정,16080
202001,6호선,상수,15036
202001,6호선,광흥창(서강),10966
202001,6호선,대흥(서강대앞),9965
202001,6호선,공덕,21829
202001,6호선,효창공원앞,7151
202001,6호선,삼각지,6301
202001,6호선,녹사평(용산구청),6394
202001,6호선,이태원,21245
202001,6호선,한강진,10335
202001,6호선,버티고개,2550
202001,6호선,약수,4278
202001,6호선,청구,4601
202001,6호선,신당,9575
202001,6호선,동묘앞,9024
202001,6호선,창신,3184
202001,6호선,보문,7490
202001,6호선,안암(고대병원앞),12641
202001,6호선,고려대(종암),9441
202001,6호선,월곡(동덕여대),13137
202001,6호선,상월곡(한국과학기술연구원),6196
202001,6호선,돌곶이,9077
202001,6호선,석계,15003
202001,6호선,태릉입구,7047
202001,6호선,화랑대(서울여대입구),10308
202001,6호선,봉화산(서울의료원),9837
202001,7호선,장암,923
202001,7호선,도봉산,11344
202001,7호선,수락산,14000
202001,7호선,마들,12836
202001,7호선,노원,27051
202001,7호선,중계,15308
202001,7호선,하계,19527
202001,7호선,공릉(서울과학기술대),14225
202001,7호선,태릉입구,8505
202001,7호선,먹골,11380
202001,7호선,중화,12390
202001,7호선,상봉(시외버스터미널),18694
202001,7호선,면목,16759
202001,7호선,사가정,17613
202001,7호선,용마산,6394
202001,7호선,중곡,10432
202001,7호선,군자(능동),13007
202001,7호선,어린이대공원(세종대),13749
202001,7호선,건대입구,18131
202001,7호선,뚝섬유원지,7599
202001,7호선,청담,26570
202001,7호선,강남구청,20226
202001,7호선,학동,29192
202001,7호선,논현,26338
202001,7호선,반포,6929
202001,7호선,고속터미널,18503
202001,7호선,내방,16844
202001,7호선,이수,19425
202001,7호선,남성,11945
202001,7호선,숭실대입구(살피재),14627
202001,7호선,상도,11909
202001,7호선,장승배기,11678
202001,7호선,신대방삼거리,18007
202001,7호선,보라매,10720
202001,7호선,신풍,12096
202001,7호선,대림(구로구청),10364
202001,7호선,남구로,19948
202001,7호선,가산디지털단지,50314
202001,7호선,철산,27641
202001,7호선,광명사거리,27558
202001,7호선,천왕,10203
202001,7호선,온수(성공회대입구),10822
202001,7호선,까치울,7600
202001,7호선,부천종합운동장,4296
202001,7호선,춘의,10433
202001,7호선,신중동,17266
202001,7호선,부천시청,14424
202001,7호선,상동,17011
202001,7호선,삼산체육관,5119
202001,7호선,굴포천,10974
202001,7호선,부평구청,10865
202001,8호선,암사,18751
202001,8호선,천호(풍납토성),24046
202001,8호선,강동구청,12691
202001,8호선,몽촌토성(평화의문),6769
202001,8호선,잠실(송파구청),21398
202001,8호선,석촌,10577
202001,8호선,송파,10728
202001,8호선,가락시장,11038
202001,8호선,문정,24335
202001,8호선,장지,19713
202001,8호선,복정,10359
202001,8호선,산성,5853
202001,8호선,남한산성입구(성남법원.검찰청),13446
202001,8호선,단대오거리,11175
202001,8호선,신흥,5842
202001,8호선,수진,6074
