호선,역번호,역      명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
3,319,종로3가(3),273461,233789,257944,253429,263543,243713,256233,243983,223325,254283,243002,260112
3,320,을지로3가(3),147643,119994,142005,144105,149193,138081,153334,144031,131747,152502,147823,156389
3,322,동대입구,239778,202309,312334,342594,340431,274708,245762,237988,296945,324349,341605,294080
3,323,약수(3),213152,180787,219339,219632,221641,202741,214143,201044,192951,215164,210675,215001
3,324,금호,131461,112143,134694,135317,138187,126411,131851,124461,122397,134246,131615,134241
3,325,옥수,173392,149457,183725,183210,188626,173295,178050,171248,164521,183064,178127,178147
3,326,압구정,756140,623287,737873,736427,740866,698589,756809,705558,669540,750325,738052,778225
3,327,신사,783560,657598,760257,753421,794940,734413,795077,765295,690185,777216,765193,806288
3,328,잠원,103142,85357,106867,110526,114035,102639,107991,100194,99212,114843,110749,109639
3,329,고속터미널(3),929010,894467,951290,899358,983820,910580,930176,992595,903886,947972,965222,1020410
3,330,교대(3),164980,130852,169137,175163,173539,155753,168178,152464,153611,182423,165171,161555
3,331,남부터미널,788816,692732,803584,770993,788978,727197,767442,752910,714413,760748,768675,766531
3,332,양재,880688,713308,887166,914925,906552,832707,885902,818118,797631,912817,911625,910944
3,333,매봉,233622,188035,228541,241054,236941,218038,239593,217752,209186,235415,234326,236947
3,334,도곡,99508,81236,102048,107896,107050,96798,101494,92269,92519,105602,107025,106698
3,335,대치,202250,171334,206059,201687,209739,189527,210433,201604,192794,210868,208880,192839
3,336,학여울,46366,36079,60694,66133,56840,48838,50587,49976,44068,41695,59711,65699
3,337,대청,149129,126598,155619,160906,160698,145920,161020,146757,143451,156735,162058,164937
3,338,일원,176482,144660,179814,189252,191908,174866,191748,176016,172001,188884,190250,187765
3,339,수서,286948,245317,290659,293703,299701,277139,287504,274342,269642,299709,302555,306594
3,340,가락시장(3),140779,114247,138914,141510,141486,130172,136485,127580,126628,141820,141973,146875
3,341,경찰병원,160166,129430,155180,157295,158113,145307,156918,149320,142800,157111,154664,157740
3,342,오금(3),84808,70444,87243,88569,87350,80180,83606,77883,77556,86256,83530,83434
4,409,당고개,140658,124312,152325,152174,159311,145846,149278,144923,139885,156471,149394,149572
4,410,상계,277536,236660,289274,288709,295536,269299,277560,263016,260089,284948,277343,278397
4,411,노원(4),264155,229461,271108,268451,279515,253552,266287,253205,244921,270064,262872,274305
4,412,창동,514861,441702,536370,542235,563680,514872,532351,511399,507880,555976,537643,539767
4,413,쌍문,461970,394694,478630,481374,491462,447700,467598,442556,433880,479433,469445,474493
4,414,수유,586131,508422,617749,619309,636536,577092,594776,573959,565936,616215,600319,605127
4,415,미아,232458,201740,255170,258741,265632,238938,235328,221564,233265,257402,251727,250555
