NO,지역,성별,나이,자동차,대중교통,택시,비용,경험,인지,한정도입,완전도입,가구원수,월소득
591,b,M,5,1,2,1,0,1,1,1,1,4,1
592,e,F,1,0,4,1,1,0,1,1,0,4,1
593,d,F,2,0,4,2,1,1,1,1,1,4,2
594,a,M,2,1,3,2,0,1,1,0,0,2,2
595,e,M,5,1,1,1,0,0,1,0,0,4,2
596,c,F,2,1,3,2,1,1,4,1,1,5,2
597,b,F,5,1,3,1,0,0,2,1,0,4,0
598,d,F,2,1,2,1,1,1,3,1,1,3,2
599,c,F,4,0,4,1,1,0,2,1,1,5,1
600,c,F,5,1,3,0,1,0,3,1,1,4,1
601,c,F,5,0,4,0,1,0,3,1,1,4,2
602,d,M,2,1,4,2,0,0,1,1,0,3,2
603,d,M,4,0,4,0,0,0,2,1,0,1,0
604,d,F,3,0,4,0,1,0,2,1,1,2,1
605,b,M,5,0,4,3,2,1,2,1,1,4,1
606,c,M,1,0,4,1,2,0,1,1,1,5,1
607,e,F,4,1,3,1,2,0,2,1,1,4,1
608,d,F,4,0,4,1,1,0,1,0,0,3,1
609,e,M,2,0,4,2,1,0,3,1,1,1,1
610,d,M,4,1,1,1,0,0,1,1,0,3,1
611,b,F,4,1,1,0,0,0,1,0,0,4,1
613,b,M,4,1,4,2,1,0,1,1,1,4,2
